,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,N,P,K ,temperature ,humidity,pH,rainfall
158811,Odisha,RAYAGADA,2009,Summer     ,rice,4000,7000,74,35,40,26.49109635,80.15836264,6.980400905,242.8640342
158822,Odisha,RAYAGADA,2009,Winter     ,rice,60000,114000,78,42,42,20.13017482,81.60487287,7.628472891,262.7173405
158830,Odisha,RAYAGADA,2010,Autumn     ,rice,8000,8000,69,37,42,23.05804872,83.37011772,7.073453503,251.0549998
158836,Odisha,RAYAGADA,2010,Summer     ,rice,3000,6000,69,55,38,22.70883798,82.63941394,5.70080568,271.3248604
158846,Odisha,RAYAGADA,2010,Winter     ,rice,49000,112000,94,53,40,20.27774362,82.89408619,5.718627178,241.9741949
158853,Odisha,RAYAGADA,2011,Autumn     ,rice,6000,5000,89,54,38,24.51588066,83.5352163,6.685346424,230.4462359
158859,Odisha,RAYAGADA,2011,Summer     ,rice,1000,2000,68,58,38,23.22397386,83.03322691,6.336253525,221.2091958
158870,Odisha,RAYAGADA,2011,Winter     ,rice,52000,67000,91,53,40,26.52723513,81.41753846,5.386167788,264.6148697
158877,Odisha,RAYAGADA,2012,Autumn     ,rice,7000,7000,90,46,42,23.97898217,81.45061596,7.50283396,250.0832336
158882,Odisha,RAYAGADA,2012,Summer     ,rice,115000,3000,78,58,44,26.80079604,80.88684822,5.108681786,284.4364567
158892,Odisha,RAYAGADA,2012,Winter     ,rice,48000,108000,93,56,36,24.01497622,82.05687182,6.98435366,185.2773389
158899,Odisha,RAYAGADA,2013,Autumn     ,rice,7000,7000,94,50,37,25.66585205,80.66385045,6.94801983,209.5869708
158903,Odisha,RAYAGADA,2013,Summer     ,rice,4000,9000,60,48,39,24.28209415,80.30025587,7.042299069,231.0863347
158912,Odisha,RAYAGADA,2013,Winter     ,rice,57000,153000,85,38,41,21.58711777,82.7883708,6.249050656,276.6552459
158919,Odisha,RAYAGADA,2014,Autumn     ,rice,6000,7000,91,35,39,23.79391957,80.41817957,6.970859754,206.2611855
158924,Odisha,RAYAGADA,2014,Summer     ,rice,5000,15000,77,38,36,21.8652524,80.1923008,5.953933276,224.5550169
158934,Odisha,RAYAGADA,2014,Winter     ,rice,54000,161000,88,35,40,23.57943626,83.58760316,5.85393208,291.2986618
158941,Odisha,RAYAGADA,2015,Autumn     ,rice,5000,3000,89,45,36,21.32504158,80.47476396,6.442475375,185.4974732
158946,Odisha,RAYAGADA,2015,Summer     ,rice,2000,4000,76,40,43,25.15745531,83.11713476,5.070175667,231.3843163
158956,Odisha,RAYAGADA,2015,Winter     ,rice,45000,54000,67,59,41,21.94766735,80.97384195,6.012632591,213.3560921
158988,Odisha,SAMBALPUR,1998,Autumn     ,rice,52393,38860,83,41,43,21.0525355,82.67839517,6.254028451,233.1075816
158993,Odisha,SAMBALPUR,1998,Summer     ,rice,8788,22388,98,47,37,23.48381344,81.33265073,7.375482851,224.0581164
159004,Odisha,SAMBALPUR,1998,Winter     ,rice,83207,133942,66,53,41,25.0756354,80.52389148,7.778915154,257.0038865
159008,Odisha,SAMBALPUR,1999,Autumn     ,rice,52000,66000,97,59,43,26.35927159,84.04403589,6.286500176,271.3586137
159038,Odisha,SAMBALPUR,1999,Summer     ,rice,18330,52750,97,50,41,24.52922681,80.54498576,7.070959995,260.2634026
159042,Odisha,SAMBALPUR,1999,Winter     ,rice,87000,172000,60,49,44,20.77576147,84.49774397,6.244841491,240.0810647
159044,Odisha,SAMBALPUR,2000,Autumn     ,rice,45440,13670,84,51,35,22.30157427,80.64416466,6.043304899,197.9791215
159065,Odisha,SAMBALPUR,2000,Summer     ,rice,9810,22750,73,57,41,21.44653958,84.94375962,5.824709117,272.2017204
159075,Odisha,SAMBALPUR,2000,Winter     ,rice,81790,62090,92,35,40,22.17931888,80.33127223,6.357389366,200.0882787
159086,Odisha,SAMBALPUR,2001,Kharif     ,rice,145000,269000,85,37,39,24.52783742,82.73685569,6.364134968,224.6757231
159115,Odisha,SAMBALPUR,2002,Kharif     ,rice,139000,157000,98,53,38,20.26707606,81.63895217,5.01450727,270.4417274
159143,Odisha,SAMBALPUR,2003,Kharif     ,rice,145000,257000,88,54,44,25.7354293,83.88266234,6.149410611,233.1321372
159166,Odisha,SAMBALPUR,2004,Autumn     ,rice,44000,38000,95,55,42,26.79533926,82.1480873,5.950660556,193.3473987
159179,Odisha,SAMBALPUR,2004,Summer     ,rice,22000,77000,99,57,35,26.75754171,81.17734011,5.960370061,272.2999056
159196,Odisha,SAMBALPUR,2004,Winter     ,rice,94000,140000,95,39,36,23.86330467,83.15250801,5.561398642,285.2493645
159203,Odisha,SAMBALPUR,2005,Autumn     ,rice,44000,52000,60,43,44,21.01944696,82.95221726,7.416245107,298.4018471
159209,Odisha,SAMBALPUR,2005,Summer     ,rice,18000,51000,63,44,41,24.17298839,83.7287574,5.583370042,257.0343554
159219,Odisha,SAMBALPUR,2005,Winter     ,rice,89000,191000,62,42,36,22.78133816,82.06719137,6.430010215,248.7183228
159227,Odisha,SAMBALPUR,2006,Autumn     ,rice,43000,58000,64,45,43,25.62980105,83.52842314,5.534878156,209.9001977
159232,Odisha,SAMBALPUR,2006,Summer     ,rice,16000,55000,83,60,36,25.59704938,80.14509262,6.903985986,200.834898
159242,Odisha,SAMBALPUR,2006,Winter     ,rice,85000,175000,82,40,40,23.83067496,84.81360127,6.271478838,298.5601175
159250,Odisha,SAMBALPUR,2007,Autumn     ,rice,40000,57000,85,52,45,26.31355498,82.36698992,7.224285503,265.5355937
159255,Odisha,SAMBALPUR,2007,Summer     ,rice,18000,58000,91,35,38,24.8972823,80.52586088,6.13428721,183.6793207
159266,Odisha,SAMBALPUR,2007,Winter     ,rice,90000,201000,76,49,42,24.958779,84.47963372,5.206373153,196.9560008
159273,Odisha,SAMBALPUR,2008,Autumn     ,rice,46000,65000,74,39,38,23.24113501,84.59201843,7.782051313,233.0453455
159278,Odisha,SAMBALPUR,2008,Summer     ,rice,20000,75000,79,43,39,21.66628296,80.70960551,7.062779015,210.8142087
159289,Odisha,SAMBALPUR,2008,Winter     ,rice,85000,192000,88,55,45,24.63544858,80.41363018,7.730367824,253.7202781
159296,Odisha,SAMBALPUR,2009,Autumn     ,rice,40000,28000,60,36,43,23.43121862,83.06310136,5.286203711,219.9048349
159300,Odisha,SAMBALPUR,2009,Summer     ,rice,18000,55000,76,60,39,20.0454142,80.3477562,6.766240045,208.5810155
159309,Odisha,SAMBALPUR,2009,Winter     ,rice,82000,97000,93,56,42,23.85724032,82.22572988,7.382762603,195.0948311
159317,Odisha,SAMBALPUR,2010,Autumn     ,rice,43000,17000,65,60,43,21.97199397,81.89918197,5.658169482,227.3637009
159322,Odisha,SAMBALPUR,2010,Summer     ,rice,23000,83000,95,52,36,26.22916897,83.83625819,5.543360238,286.5083725
159333,Odisha,SAMBALPUR,2010,Winter     ,rice,87000,122000,75,38,39,23.44676801,84.79352417,6.215109715,283.9338466
159340,Odisha,SAMBALPUR,2011,Autumn     ,rice,36000,31000,74,54,38,25.65553461,83.47021081,7.120272972,217.3788583
159345,Odisha,SAMBALPUR,2011,Summer     ,rice,18000,69000,91,36,45,24.44345477,82.45432595,5.950647577,267.9761948
159354,Odisha,SAMBALPUR,2011,Winter     ,rice,83000,144000,71,46,40,20.2801937,82.1235421,7.236705436,191.9535738
159362,Odisha,SAMBALPUR,2012,Autumn     ,rice,39000,79000,99,55,35,21.7238313,80.2389895,6.501697816,277.9626192
159366,Odisha,SAMBALPUR,2012,Summer     ,rice,345000,71000,72,40,38,20.41447029,82.20802629,7.592490617,245.1511304
159377,Odisha,SAMBALPUR,2012,Winter     ,rice,81000,266000,83,58,45,25.75528612,83.51827127,5.875345751,245.6626799
159385,Odisha,SAMBALPUR,2013,Autumn     ,rice,44000,50000,93,58,38,20.61521424,83.77345559,6.932400225,279.5451717
159389,Odisha,SAMBALPUR,2013,Summer     ,rice,22000,95000,70,36,42,21.84106875,80.72886384,6.946209881,202.3838319
159397,Odisha,SAMBALPUR,2013,Winter     ,rice,96000,178000,76,47,42,20.08369642,83.29114712,5.739175027,263.6372176
159405,Odisha,SAMBALPUR,2014,Autumn     ,rice,47000,67000,99,41,36,24.45802087,82.74835604,6.738652179,182.5616319
159409,Odisha,SAMBALPUR,2014,Summer     ,rice,24000,91000,99,54,37,21.14347496,80.33502926,5.594819626,198.6730942
159417,Odisha,SAMBALPUR,2014,Winter     ,rice,103000,265000,86,59,35,25.78720567,82.11124033,6.946636369,243.5120414
159424,Odisha,SAMBALPUR,2015,Autumn     ,rice,49000,28000,69,46,41,23.64124821,80.28597873,5.012139669,263.1103304
159429,Odisha,SAMBALPUR,2015,Summer     ,rice,8000,29000,91,56,37,23.43191632,80.56887849,6.363472208,269.5039162
159437,Odisha,SAMBALPUR,2015,Winter     ,rice,91000,98000,61,52,41,24.97669518,83.891805,6.880431223,204.8001847
159462,Odisha,SONEPUR,1998,Autumn     ,rice,15569,5262,67,45,38,22.72791041,82.1706881,7.300410836,260.8875056
159467,Odisha,SONEPUR,1998,Summer     ,rice,19922,38693,79,42,37,24.87300744,82.84022551,6.587918708,295.6094492
159475,Odisha,SONEPUR,1998,Winter     ,rice,74383,110247,78,43,42,21.32376327,83.00320459,7.283736617,192.3197536
159479,Odisha,SONEPUR,1999,Autumn     ,rice,16000,19000,75,54,36,26.29465461,84.56919326,7.023936392,257.4914906
159508,Odisha,SONEPUR,1999,Summer     ,rice,17270,39860,97,36,45,22.2286982,81.85872947,6.939083505,278.0791793
159512,Odisha,SONEPUR,1999,Winter     ,rice,79000,162000,67,47,44,26.73072391,81.78596776,7.868474653,280.4044392
159514,Odisha,SONEPUR,2000,Autumn     ,rice,14450,7940,73,35,38,24.88921174,81.97927117,5.005306977,185.9461429
159535,Odisha,SONEPUR,2000,Summer     ,rice,16860,36140,77,36,37,26.88444878,81.46033732,6.136131869,194.5766559
159544,Odisha,SONEPUR,2000,Winter     ,rice,72100,90440,81,41,38,22.67846116,83.72874389,7.524080076,200.9133156
159555,Odisha,SONEPUR,2001,Kharif     ,rice,117000,221000,68,57,43,26.08867875,80.37979919,5.706943251,182.9043504
159584,Odisha,SONEPUR,2002,Kharif     ,rice,122000,129000,72,45,35,25.42977518,82.94682591,5.758506323,195.3574542
159609,Odisha,SONEPUR,2003,Kharif     ,rice,117000,173000,61,53,43,26.40323239,81.05635517,6.349606327,223.3671883
159629,Odisha,SONEPUR,2004,Autumn     ,rice,14000,12000,67,43,39,26.04371967,84.96907151,5.999969026,186.7536773
159641,Odisha,SONEPUR,2004,Summer     ,rice,23000,56000,67,58,39,25.2827223,80.54372813,5.453592032,220.1156708
159655,Odisha,SONEPUR,2004,Winter     ,rice,82000,137000,66,60,38,22.08576562,83.47038318,6.372576327,231.7364957
159662,Odisha,SONEPUR,2005,Autumn     ,rice,13000,16000,82,43,38,23.28617173,81.43321641,5.105588355,242.3170629
159667,Odisha,SONEPUR,2005,Summer     ,rice,21000,51000,84,50,44,25.48591986,81.40633547,5.935344406,182.6549356
159678,Odisha,SONEPUR,2005,Winter     ,rice,86000,185000,81,53,42,23.67575393,81.03569343,5.17782304,233.7034975
159685,Odisha,SONEPUR,2006,Autumn     ,rice,16000,20000,91,50,40,20.82477109,84.1341879,6.462391607,230.2242223
159690,Odisha,SONEPUR,2006,Summer     ,rice,29000,63000,93,53,38,26.92995077,81.91411159,7.069172227,290.6793783
159698,Odisha,SONEPUR,2006,Winter     ,rice,88000,193000,90,44,38,23.83509503,83.88387074,7.473134377,241.2013513
159705,Odisha,SONEPUR,2007,Autumn     ,rice,14000,14000,81,45,35,26.52872817,80.12267476,6.158376967,218.9163567
159710,Odisha,SONEPUR,2007,Summer     ,rice,26000,71000,78,40,38,26.46428311,83.85642678,7.549873681,248.2256491
159720,Odisha,SONEPUR,2007,Winter     ,rice,85000,166000,60,51,36,22.69657794,82.81088865,6.028321558,256.9964761
159727,Odisha,SONEPUR,2008,Autumn     ,rice,15000,16000,88,46,42,22.68319059,83.46358271,6.604993475,194.2651719
159732,Odisha,SONEPUR,2008,Summer     ,rice,29000,88000,93,47,37,21.53346343,82.14004101,6.500343222,295.9248796
159740,Odisha,SONEPUR,2008,Winter     ,rice,82000,139000,60,55,45,21.40865769,83.3293191,5.935745417,287.5766935
159747,Odisha,SONEPUR,2009,Autumn     ,rice,16000,17000,78,35,44,26.54348085,84.67353597,7.072655622,183.6222657
159751,Odisha,SONEPUR,2009,Summer     ,rice,28000,87000,65,37,40,23.35905428,83.59512273,5.333322606,188.413665
159760,Odisha,SONEPUR,2009,Winter     ,rice,84000,191000,90,42,43,20.87974371,82.00274423,6.502985292,202.9355362
159767,Odisha,SONEPUR,2010,Autumn     ,rice,14000,12000,85,58,41,21.77046169,80.31964408,7.038096361,226.6555374
159773,Odisha,SONEPUR,2010,Summer     ,rice,27000,91000,60,55,44,23.00445915,82.3207629,7.840207144,263.9642476
159780,Odisha,SONEPUR,2010,Winter     ,rice,87000,205000,74,35,40,26.49109635,80.15836264,6.980400905,242.8640342
159787,Odisha,SONEPUR,2011,Autumn     ,rice,16000,7000,78,42,42,20.13017482,81.60487287,7.628472891,262.7173405
159793,Odisha,SONEPUR,2011,Summer     ,rice,31000,134000,69,37,42,23.05804872,83.37011772,7.073453503,251.0549998
159801,Odisha,SONEPUR,2011,Winter     ,rice,85000,145000,69,55,38,22.70883798,82.63941394,5.70080568,271.3248604
159808,Odisha,SONEPUR,2012,Autumn     ,rice,14000,36000,94,53,40,20.27774362,82.89408619,5.718627178,241.9741949
159814,Odisha,SONEPUR,2012,Summer     ,rice,448000,113000,89,54,38,24.51588066,83.5352163,6.685346424,230.4462359
159822,Odisha,SONEPUR,2012,Winter     ,rice,88000,412000,68,58,38,23.22397386,83.03322691,6.336253525,221.2091958
159829,Odisha,SONEPUR,2013,Autumn     ,rice,15000,24000,91,53,40,26.52723513,81.41753846,5.386167788,264.6148697
159832,Odisha,SONEPUR,2013,Summer     ,rice,28000,110000,90,46,42,23.97898217,81.45061596,7.50283396,250.0832336
159839,Odisha,SONEPUR,2013,Winter     ,rice,94000,286000,78,58,44,26.80079604,80.88684822,5.108681786,284.4364567
159846,Odisha,SONEPUR,2014,Autumn     ,rice,17000,36000,93,56,36,24.01497622,82.05687182,6.98435366,185.2773389
159851,Odisha,SONEPUR,2014,Summer     ,rice,27000,106000,94,50,37,25.66585205,80.66385045,6.94801983,209.5869708
159858,Odisha,SONEPUR,2014,Winter     ,rice,84000,290000,60,48,39,24.28209415,80.30025587,7.042299069,231.0863347
159863,Odisha,SONEPUR,2015,Autumn     ,rice,17000,9000,85,38,41,21.58711777,82.7883708,6.249050656,276.6552459
159866,Odisha,SONEPUR,2015,Summer     ,rice,29000,113000,91,35,39,23.79391957,80.41817957,6.970859754,206.2611855
159873,Odisha,SONEPUR,2015,Winter     ,rice,86000,209000,77,38,36,21.8652524,80.1923008,5.953933276,224.5550169
159907,Odisha,SUNDARGARH,1998,Autumn     ,rice,102517,57056,88,35,40,23.57943626,83.58760316,5.85393208,291.2986618
159914,Odisha,SUNDARGARH,1998,Summer     ,rice,3200,3722,89,45,36,21.32504158,80.47476396,6.442475375,185.4974732
159924,Odisha,SUNDARGARH,1998,Winter     ,rice,115039,106112,76,40,43,25.15745531,83.11713476,5.070175667,231.3843163
159928,Odisha,SUNDARGARH,1999,Autumn     ,rice,106000,88000,67,59,41,21.94766735,80.97384195,6.012632591,213.3560921
159962,Odisha,SUNDARGARH,1999,Summer     ,rice,5210,7110,83,41,43,21.0525355,82.67839517,6.254028451,233.1075816
159966,Odisha,SUNDARGARH,1999,Winter     ,rice,128000,149000,98,47,37,23.48381344,81.33265073,7.375482851,224.0581164
159968,Odisha,SUNDARGARH,2000,Autumn     ,rice,103760,43340,66,53,41,25.0756354,80.52389148,7.778915154,257.0038865
159992,Odisha,SUNDARGARH,2000,Summer     ,rice,2220,3330,97,59,43,26.35927159,84.04403589,6.286500176,271.3586137
160002,Odisha,SUNDARGARH,2000,Winter     ,rice,116280,74560,97,50,41,24.52922681,80.54498576,7.070959995,260.2634026
160013,Odisha,SUNDARGARH,2001,Kharif     ,rice,247000,243000,60,49,44,20.77576147,84.49774397,6.244841491,240.0810647
160046,Odisha,SUNDARGARH,2002,Kharif     ,rice,226000,74000,84,51,35,22.30157427,80.64416466,6.043304899,197.9791215
160078,Odisha,SUNDARGARH,2003,Kharif     ,rice,242000,249000,73,57,41,21.44653958,84.94375962,5.824709117,272.2017204
160105,Odisha,SUNDARGARH,2004,Autumn     ,rice,103000,79000,92,35,40,22.17931888,80.33127223,6.357389366,200.0882787
160124,Odisha,SUNDARGARH,2004,Summer     ,rice,4000,6000,85,37,39,24.52783742,82.73685569,6.364134968,224.6757231
160139,Odisha,SUNDARGARH,2004,Winter     ,rice,126000,160000,98,53,38,20.26707606,81.63895217,5.01450727,270.4417274
160147,Odisha,SUNDARGARH,2005,Autumn     ,rice,88000,69000,88,54,44,25.7354293,83.88266234,6.149410611,233.1321372
160153,Odisha,SUNDARGARH,2005,Summer     ,rice,1000,2000,95,55,42,26.79533926,82.1480873,5.950660556,193.3473987
160163,Odisha,SUNDARGARH,2005,Winter     ,rice,123000,170000,99,57,35,26.75754171,81.17734011,5.960370061,272.2999056
160171,Odisha,SUNDARGARH,2006,Autumn     ,rice,101000,92000,95,39,36,23.86330467,83.15250801,5.561398642,285.2493645
160177,Odisha,SUNDARGARH,2006,Summer     ,rice,1000,2000,60,43,44,21.01944696,82.95221726,7.416245107,298.4018471
160186,Odisha,SUNDARGARH,2006,Winter     ,rice,122000,179000,63,44,41,24.17298839,83.7287574,5.583370042,257.0343554
160194,Odisha,SUNDARGARH,2007,Autumn     ,rice,96000,110000,62,42,36,22.78133816,82.06719137,6.430010215,248.7183228
160200,Odisha,SUNDARGARH,2007,Summer     ,rice,2000,4000,64,45,43,25.62980105,83.52842314,5.534878156,209.9001977
160210,Odisha,SUNDARGARH,2007,Winter     ,rice,118000,187000,83,60,36,25.59704938,80.14509262,6.903985986,200.834898
160218,Odisha,SUNDARGARH,2008,Autumn     ,rice,96000,106000,82,40,40,23.83067496,84.81360127,6.271478838,298.5601175
160223,Odisha,SUNDARGARH,2008,Summer     ,rice,1000,3000,85,52,45,26.31355498,82.36698992,7.224285503,265.5355937
160233,Odisha,SUNDARGARH,2008,Winter     ,rice,121000,187000,91,35,38,24.8972823,80.52586088,6.13428721,183.6793207
160241,Odisha,SUNDARGARH,2009,Autumn     ,rice,88000,51000,76,49,42,24.958779,84.47963372,5.206373153,196.9560008
160255,Odisha,SUNDARGARH,2009,Winter     ,rice,118000,94000,74,39,38,23.24113501,84.59201843,7.782051313,233.0453455
160263,Odisha,SUNDARGARH,2010,Autumn     ,rice,93000,30000,79,43,39,21.66628296,80.70960551,7.062779015,210.8142087
160269,Odisha,SUNDARGARH,2010,Summer     ,rice,1000,,88,55,45,24.63544858,80.41363018,7.730367824,253.7202781
160277,Odisha,SUNDARGARH,2010,Winter     ,rice,118000,108000,60,36,43,23.43121862,83.06310136,5.286203711,219.9048349
160285,Odisha,SUNDARGARH,2011,Autumn     ,rice,78000,92000,76,60,39,20.0454142,80.3477562,6.766240045,208.5810155
160290,Odisha,SUNDARGARH,2011,Summer     ,rice,2000,3000,93,56,42,23.85724032,82.22572988,7.382762603,195.0948311
160301,Odisha,SUNDARGARH,2011,Winter     ,rice,113000,246000,65,60,43,21.97199397,81.89918197,5.658169482,227.3637009
160309,Odisha,SUNDARGARH,2012,Autumn     ,rice,84000,156000,95,52,36,26.22916897,83.83625819,5.543360238,286.5083725
160315,Odisha,SUNDARGARH,2012,Summer     ,rice,472000,2000,75,38,39,23.44676801,84.79352417,6.215109715,283.9338466
160323,Odisha,SUNDARGARH,2012,Winter     ,rice,119000,316000,74,54,38,25.65553461,83.47021081,7.120272972,217.3788583
160331,Odisha,SUNDARGARH,2013,Autumn     ,rice,86000,131000,91,36,45,24.44345477,82.45432595,5.950647577,267.9761948
160337,Odisha,SUNDARGARH,2013,Summer     ,rice,2000,5000,71,46,40,20.2801937,82.1235421,7.236705436,191.9535738
160343,Odisha,SUNDARGARH,2013,Winter     ,rice,123000,276000,99,55,35,21.7238313,80.2389895,6.501697816,277.9626192
160351,Odisha,SUNDARGARH,2014,Autumn     ,rice,77000,150000,72,40,38,20.41447029,82.20802629,7.592490617,245.1511304
160356,Odisha,SUNDARGARH,2014,Summer     ,rice,1000,2000,83,58,45,25.75528612,83.51827127,5.875345751,245.6626799
160364,Odisha,SUNDARGARH,2014,Winter     ,rice,118000,345000,93,58,38,20.61521424,83.77345559,6.932400225,279.5451717
160372,Odisha,SUNDARGARH,2015,Autumn     ,rice,80000,71000,70,36,42,21.84106875,80.72886384,6.946209881,202.3838319
160378,Odisha,SUNDARGARH,2015,Summer     ,rice,1000,1000,76,47,42,20.08369642,83.29114712,5.739175027,263.6372176
160387,Odisha,SUNDARGARH,2015,Winter     ,rice,114000,156000,99,41,36,24.45802087,82.74835604,6.738652179,182.5616319
160392,Puducherry,KARAIKAL,1998,Kharif     ,rice,909,2215,99,54,37,21.14347496,80.33502926,5.594819626,198.6730942
160396,Puducherry,KARAIKAL,1998,Rabi       ,rice,7550,14556,86,59,35,25.78720567,82.11124033,6.946636369,243.5120414
160398,Puducherry,KARAIKAL,1998,Summer     ,rice,153,383,69,46,41,23.64124821,80.28597873,5.012139669,263.1103304
160404,Puducherry,KARAIKAL,1999,Kharif     ,rice,8533,16642,91,56,37,23.43191632,80.56887849,6.363472208,269.5039162
160421,Puducherry,KARAIKAL,2000,Kharif     ,rice,16647,40159,61,52,41,24.97669518,83.891805,6.880431223,204.8001847
160434,Puducherry,KARAIKAL,2001,Kharif     ,rice,8593,17646,67,45,38,22.72791041,82.1706881,7.300410836,260.8875056
160443,Puducherry,KARAIKAL,2002,Kharif     ,rice,6619,7315,79,42,37,24.87300744,82.84022551,6.587918708,295.6094492
160454,Puducherry,KARAIKAL,2003,Kharif     ,rice,5937,12725,78,43,42,21.32376327,83.00320459,7.283736617,192.3197536
160464,Puducherry,KARAIKAL,2004,Autumn     ,rice,772,1423,75,54,36,26.29465461,84.56919326,7.023936392,257.4914906
160476,Puducherry,KARAIKAL,2004,Winter     ,rice,6127,8382,97,36,45,22.2286982,81.85872947,6.939083505,278.0791793
160477,Puducherry,KARAIKAL,2005,Autumn     ,rice,565,1189,67,47,44,26.73072391,81.78596776,7.868474653,280.4044392
160483,Puducherry,KARAIKAL,2005,Summer     ,rice,6,7,73,35,38,24.88921174,81.97927117,5.005306977,185.9461429
160488,Puducherry,KARAIKAL,2005,Winter     ,rice,5988,9707,77,36,37,26.88444878,81.46033732,6.136131869,194.5766559
160490,Puducherry,KARAIKAL,2006,Kharif     ,rice,653,1644,81,41,38,22.67846116,83.72874389,7.524080076,200.9133156
160493,Puducherry,KARAIKAL,2006,Rabi       ,rice,6135,14969,68,57,43,26.08867875,80.37979919,5.706943251,182.9043504
160499,Puducherry,KARAIKAL,2007,Kharif     ,rice,556,1417,72,45,35,25.42977518,82.94682591,5.758506323,195.3574542
160503,Puducherry,KARAIKAL,2007,Rabi       ,rice,5892,12900,61,53,43,26.40323239,81.05635517,6.349606327,223.3671883
160508,Puducherry,KARAIKAL,2007,Summer     ,rice,8,14,67,43,39,26.04371967,84.96907151,5.999969026,186.7536773
160515,Puducherry,KARAIKAL,2008,Kharif     ,rice,585,1632,67,58,39,25.2827223,80.54372813,5.453592032,220.1156708
160518,Puducherry,KARAIKAL,2008,Rabi       ,rice,5804,9565,66,60,38,22.08576562,83.47038318,6.372576327,231.7364957
160522,Puducherry,KARAIKAL,2008,Summer     ,rice,96,131,82,43,38,23.28617173,81.43321641,5.105588355,242.3170629
160529,Puducherry,KARAIKAL,2009,Kharif     ,rice,646,1388,84,50,44,25.48591986,81.40633547,5.935344406,182.6549356
160532,Puducherry,KARAIKAL,2009,Rabi       ,rice,5607,11109,81,53,42,23.67575393,81.03569343,5.17782304,233.7034975
160536,Puducherry,KARAIKAL,2009,Summer     ,rice,17,22,91,50,40,20.82477109,84.1341879,6.462391607,230.2242223
160544,Puducherry,KARAIKAL,2010,Kharif     ,rice,573,1529,93,53,38,26.92995077,81.91411159,7.069172227,290.6793783
160546,Puducherry,KARAIKAL,2010,Rabi       ,rice,5515,13087,90,44,38,23.83509503,83.88387074,7.473134377,241.2013513
160550,Puducherry,KARAIKAL,2010,Summer     ,rice,35,94,81,45,35,26.52872817,80.12267476,6.158376967,218.9163567
160557,Puducherry,KARAIKAL,2011,Kharif     ,rice,644,1847,78,40,38,26.46428311,83.85642678,7.549873681,248.2256491
160559,Puducherry,KARAIKAL,2011,Rabi       ,rice,5432,13258,60,51,36,22.69657794,82.81088865,6.028321558,256.9964761
160564,Puducherry,KARAIKAL,2011,Summer     ,rice,13,27,88,46,42,22.68319059,83.46358271,6.604993475,194.2651719
160572,Puducherry,KARAIKAL,2012,Kharif     ,rice,434,1216,93,47,37,21.53346343,82.14004101,6.500343222,295.9248796
160573,Puducherry,KARAIKAL,2012,Rabi       ,rice,4491,8466,60,55,45,21.40865769,83.3293191,5.935745417,287.5766935
160577,Puducherry,KARAIKAL,2012,Summer     ,rice,1,2,78,35,44,26.54348085,84.67353597,7.072655622,183.6222657
160585,Puducherry,KARAIKAL,2013,Kharif     ,rice,378,726,65,37,40,23.35905428,83.59512273,5.333322606,188.413665
160586,Puducherry,KARAIKAL,2013,Rabi       ,rice,3975,10176,90,42,43,20.87974371,82.00274423,6.502985292,202.9355362
160591,Puducherry,KARAIKAL,2013,Summer     ,rice,8,27,85,58,41,21.77046169,80.31964408,7.038096361,226.6555374
160598,Puducherry,KARAIKAL,2014,Kharif     ,rice,460,1006,60,55,44,23.00445915,82.3207629,7.840207144,263.9642476
160599,Puducherry,KARAIKAL,2014,Rabi       ,rice,4305,9820,74,35,40,26.49109635,80.15836264,6.980400905,242.8640342
160608,Puducherry,MAHE,1998,Rabi       ,rice,1,2,78,42,42,20.13017482,81.60487287,7.628472891,262.7173405
160609,Puducherry,MAHE,1999,Kharif     ,rice,2,4,69,37,42,23.05804872,83.37011772,7.073453503,251.0549998
160621,Puducherry,MAHE,2000,Kharif     ,rice,8795,21081,69,55,38,22.70883798,82.63941394,5.70080568,271.3248604
160630,Puducherry,MAHE,2001,Kharif     ,rice,5,10,94,53,40,20.27774362,82.89408619,5.718627178,241.9741949
160698,Puducherry,PONDICHERRY,1998,Kharif     ,rice,3699,8404,89,54,38,24.51588066,83.5352163,6.685346424,230.4462359
160704,Puducherry,PONDICHERRY,1998,Rabi       ,rice,6082,14372,68,58,38,23.22397386,83.03322691,6.336253525,221.2091958
160706,Puducherry,PONDICHERRY,1998,Summer     ,rice,5563,14480,91,53,40,26.52723513,81.41753846,5.386167788,264.6148697
160711,Puducherry,PONDICHERRY,1999,Kharif     ,rice,16214,39996,90,46,42,23.97898217,81.45061596,7.50283396,250.0832336
160725,Puducherry,PONDICHERRY,2000,Kharif     ,rice,16647,40159,78,58,44,26.80079604,80.88684822,5.108681786,284.4364567
160742,Puducherry,PONDICHERRY,2001,Kharif     ,rice,16945,47172,93,56,36,24.01497622,82.05687182,6.98435366,185.2773389
160756,Puducherry,PONDICHERRY,2002,Kharif     ,rice,16931,47982,94,50,37,25.66585205,80.66385045,6.94801983,209.5869708
160772,Puducherry,PONDICHERRY,2003,Kharif     ,rice,18534,51876,60,48,39,24.28209415,80.30025587,7.042299069,231.0863347
160785,Puducherry,PONDICHERRY,2004,Autumn     ,rice,5135,14650,85,38,41,21.58711777,82.7883708,6.249050656,276.6552459
160795,Puducherry,PONDICHERRY,2004,Summer     ,rice,5689,15537,91,35,39,23.79391957,80.41817957,6.970859754,206.2611855
